Компания / Профиль,Источник,Ниша,Город,Ссылка,Телефон,Email,ИНН/БИН,Боли компании,Угол захода,Что предложить (Оффер),Драфт 1-го сообщения
ТООAKJET,hh.kz,ии,Алматы,https://hh.kz/employer/12790142,,,,Необходимость масштабирования продаж,Оптимизация маркетинга и коммуникаций,Внедрение ИИ-решений и автоворонок для сферы ии,"Здравствуйте! Хотели предложить вам решения по автоматизации маркетинга и ИИ для ТООAKJET. Подскажите, с кем можно обсудить детали?"
ТООBilim Land (Bilim Group),hh.kz,ии,"Астана, проспект Мангилик Ел, 55/13",https://hh.kz/employer/5415154,,,,Необходимость масштабирования продаж,Оптимизация маркетинга и коммуникаций,Внедрение ИИ-решений и автоворонок для сферы ии,"Здравствуйте! Хотели предложить вам решения по автоматизации маркетинга и ИИ для ТООBilim Land (Bilim Group). Подскажите, с кем можно обсудить детали?"
Новео,hh.kz,ии,Астана,https://hh.kz/employer/56119,,,,Необходимость масштабирования продаж,Оптимизация маркетинга и коммуникаций,Внедрение ИИ-решений и автоворонок для сферы ии,"Здравствуйте! Хотели предложить вам решения по автоматизации маркетинга и ИИ для Новео. Подскажите, с кем можно обсудить детали?"
ИПJS,hh.kz,ии,Алматы,https://hh.kz/employer/12891317,,,,Необходимость масштабирования продаж,Оптимизация маркетинга и коммуникаций,Внедрение ИИ-решений и автоворонок для сферы ии,"Здравствуйте! Хотели предложить вам решения по автоматизации маркетинга и ИИ для ИПJS. Подскажите, с кем можно обсудить детали?"
Kaspi.kz,hh.kz,ии,Алматы,https://hh.kz/employer/25880,,,,Необходимость масштабирования продаж,Оптимизация маркетинга и коммуникаций,Внедрение ИИ-решений и автоворонок для сферы ии,"Здравствуйте! Хотели предложить вам решения по автоматизации маркетинга и ИИ для Kaspi.kz. Подскажите, с кем можно обсудить детали?"
ТООOXFLO,hh.kz,ии,"Караганда, проспект Бухар Жырау, 49",https://hh.kz/employer/12752134,,,,Необходимость масштабирования продаж,Оптимизация маркетинга и коммуникаций,Внедрение ИИ-решений и автоворонок для сферы ии,"Здравствуйте! Хотели предложить вам решения по автоматизации маркетинга и ИИ для ТООOXFLO. Подскажите, с кем можно обсудить детали?"
ПК AKASHI Data Center PLC,hh.kz,ии,"Астана, улица Сыганак, 60/4",https://hh.kz/employer/10966077,,,,Необходимость масштабирования продаж,Оптимизация маркетинга и коммуникаций,Внедрение ИИ-решений и автоворонок для сферы ии,"Здравствуйте! Хотели предложить вам решения по автоматизации маркетинга и ИИ для ПК AKASHI Data Center PLC. Подскажите, с кем можно обсудить детали?"
ИПERA KZ,hh.kz,ии,"Алматы, улица Керима Мынбаева, 53",https://hh.kz/employer/10474283,,,,Необходимость масштабирования продаж,Оптимизация маркетинга и коммуникаций,Внедрение ИИ-решений и автоворонок для сферы ии,"Здравствуйте! Хотели предложить вам решения по автоматизации маркетинга и ИИ для ИПERA KZ. Подскажите, с кем можно обсудить детали?"
Публичная Компания «Freedom Finance Global PLC»,hh.kz,ии,Алматы,https://hh.kz/employer/4733738,,,,Необходимость масштабирования продаж,Оптимизация маркетинга и коммуникаций,Внедрение ИИ-решений и автоворонок для сферы ии,"Здравствуйте! Хотели предложить вам решения по автоматизации маркетинга и ИИ для Публичная Компания «Freedom Finance Global PLC». Подскажите, с кем можно обсудить детали?"
ТООPhaeton.KZ,hh.kz,ии,"Алматы, Турксибский район, Бухтарминская улица, 4А",https://hh.kz/employer/5426547,,,,Необходимость масштабирования продаж,Оптимизация маркетинга и коммуникаций,Внедрение ИИ-решений и автоворонок для сферы ии,"Здравствуйте! Хотели предложить вам решения по автоматизации маркетинга и ИИ для ТООPhaeton.KZ. Подскажите, с кем можно обсудить детали?"
